Most successful client Example,,,,,,,,,,,
,Here's,,,,,,,,,,
,TIER SCORING - Case studies,,,,,,TIER SCORING - Metrics for case studies,,,,
,TIER,WHAT YOU HAVE,,,,,TIER,Metrics,,,
,S,Transformation result + Mechanism + Recognizable Logo/client,,,,,S,"Revenue, ideally revenue transformation or + $XX/month added etc.",,,
,A,"Any of the 2 above(i,e Transformational result/mechanism no logo OR Logo + transformation but no mechanism)",,,,,A,"Unique/rare results - e.g outranked a big competitor features on americans got talent, got acquired etc.",,,
,B,Just Revenue/Results + Timeframe (no transformation/weak mechanism),,,,,B,"Revenue generating stats(Be specific!) - number of qualified leads, Top 1/3 rankings(Tell us the specific keywords), funding etc.",,,
,C,"Metric-only stats(i.e just leads, CPA, ",,,,,C,"Markety stats but still important - CAC/CPA, ROAS, impressive views",,,
,D,"Metric-Only (leads, CPA, rankings)",,,,,D,"Any % increases(percentages dont work), organic impressions etc.",,,
,,,,,,,,,,,
TIer,Client Name + website,Sub niche/Industry,Service,BEFORE (Metrics + problems),AFTER (results/metrics),Other Notable Results,Timeframe,Mechanism Statement,,TIER RANKiNG AND WHY,How we would use it in outreaches
,"{Name} 
{website}",Match Tab 2,"SEO, Creative, Paid, PR...","- Revenue first, if not other metrics/outcomes
- Deep pain points before working with you","- Revenue first, if not other metrics/outcomes
","Viral moments, rankings, press","How long?
(shorter time frame = more impressive)",How you did it differently (under 15 words),,S/A/B/C,
S,"Transparent Labs
https://www.transparentlabs.com/",Supplements DTC,"Facebook ads, creative","Stuck at $2M/yr
-  couldn't scale ads profitably
- creative looked generic as it's such a competitive market","$26M/yr revenue, 8:1 ROAS, scaled to $500K/mo ad spend","-15-18 month creative lifespan vs usual 3-6 months
- Blended 5:1 ROI",2 years,"- using humor to make ads actually entertaining
- making complex supplement science fun, digestible, and downright unskippable.",,"S-TIER because:
- Clear BEFORE/AFTER transformation ($2M→$26M)
- Strong mechanism (humor-driven)
- Recognizable logo in supplements
- Specific timeframe

= This is their best performing campaign","LEAD THE EMAIL:
""We helped Transparent Labs go from $2M to $26M in 2 years using humor-driven creative that actually entertains."""
S,"Shield AI
https://shield.ai/",Defense Tech/SaaS,Public relations(PR),"- $200m Series F
- Unknown in the Space despite funded",$5b valuation,"Featured in TechCrunch, WSJ etc.",12 months,"- reverse-engineered which topics will trend + position their CEO's as the leader in topics
- Newsjacking - intercept breaking news within a few hours/before it even gets released",,"S-TIER because:
- Clear BEFORE/AFTER transformation
- Shield AI is a big player in the space
- unique mechanism is strong",
S,https://mill-all.com/,B2B assosications,GEO/SEO,$5m/yr with strictly relying on outreach ,"Now $65m/yr, -2 Months in $1M in LLM opportunities that have turned into deals on non-branded keywords","$1.2m in 2 months in sponsporships and booked meetings with C-level execs from adobe, IBM etc.",5 years,Implementation of GEO program immediately led to noteworthy results in the millions ,,"S-TIER because:
- Clear BEFORE/AFTER transformation 
- GEO is a hot offer
- Other results are impressive - caliber of meetings",
A,"Juice Beauty
https://juicebeauty.com/",Skincare/DTC Beauty,SEO/Organic Traffic,"- $0 organic traffic
- Struggling to rank as its such a competitive space",$50k/mo organic,Outranked keywords against sephora + ulta beauty,9 months,"Educational content to acquire new buyers, technical onsite SEO etc.",,"A tier because:
- Although it has all the recipe for an S-tier, it's unique mechanism is weak/boring.",
A,"NordicTrack
nordictrack.com/",Fitness / Home Equipment,"Facebook ads, creative",(no before state given),$5M revenue tracked within a month,"32K shares, America's Got Talent feature, 5.25M views, thousands of press features",30 days,"- Injecting humor, creativity, and virality into the fitness space
-  Influencer integration with dozens of the world's most recognizable YouTubers and choreographed them into the world's largest treadmill dance
- Created an experience that people wanted to be a part of.",,"A-TIER (almost S) because:
- HUGE recognizable logo (NordicTrack)
- Very unique mechanism (treadmill dance)
- America's Got Talent = massive credibility
- No transformation (no before state)
- $5M is good but not transformational

NOTE: If they gave us ""$5M → $17.3M"" or something this would be S-tier)","LEAD (logo power):
""We created a viral branded campaign for NordicTrack featuring America's Got Talent for free + 5m+ views which led to $5m in revenue within 6 months"
B,Puragain Water,High-Ticket Home,"Facebook ads, creative, influencer campaigns","- CPL was $140
- So many options so they needed to stand out
- $20m revenue/yr","$40M revenue/yr, CPL cut to $30",$20M net new revenue YOY,1 year,"We hired Adam Savage as the spokesperson, shot a large scale anchor ad and retargeting assets",,"B-TIER because:
Even though it's a crazy revenue metric > it's in B-tier as hiring a celebrity isn't replicable/relatable to most brands and not that ""unique""","SUPPORTING PROOF:
""...we've also helped home services brands cut CPL from $140 to $30 while scaling to $700K/mo spend."""
C,Clickfunnels,Software/Tech,"Facebook ads, creative",$600k with a previous agency but 0 results,2.8x ROAS,n/a,3 months,"- direct-response creative with data-driven performance marketing to attract high-quality leads 
- Simplifying complex results",,"C Tier because:
- Unique mechanism statement is very basic
- Generic/markety results
- However Logo is great to use
",Would only use as extra proof in the p.s line if need be
D,MX Select,Fitness Equipment,"Facebook ads, creative",(no before state given),$210K revenue,"40% CTR improvement, 300% increase in store sessions",1 month,combination of UGC and low funnel affordable content,,"D Tier because:
- Unique mechanism statement is very basic
- results isn't that impressive at all
- Fitness equipment no ones heard of + such a niche industry",Would only use as extra proof in the p.s line if need be
