4. CASE STUDIES,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
RULES: - READ Here,,,,,,,,,,,,,,,,,,,,
,"


1. The more S-tier and A-tier case studies you give us, the faster and better your results will be. This is the #1 factor in campaign performance.
2. We don't use anything below B-tier in campaigns. C and D-tier case studies won't make it into your outreach -  don't waste too much time on weak ones unless it's a big name in the space.
3. Reference Tier Guide Example in Tab 5 along with examples with all sorts of offers we've ran in the past, and the tab next to this is an example of our most successful partner to show you what """"good"""" looks like!
4. Unique mechanism is extremely important with competitive industries - let us know if you struggle to come up with them.

Any other questions let us know - we'll get back to you on slack within a few hours. We don't need a full breakdown of the case study > just key parts!
",,,,,,,,,,,,TIER SCORING - Case studies,,,,,,TIER SCORING - Metrics for case studies,
,,,,,,,,,,,,,TIER,WHAT YOU HAVE,,,,,TIER,Metrics
,,,,,,,,,,,,,S,Transformation result + Mechanism + Recognizable Logo/client,,,,,S,"Revenue, ideally revenue transformation or + $XX/month added etc."
,,,,,,,,,,,,,A,"Any of the 2 above(i,e Transformational result/mechanism no logo OR Logo + transformation but no mechanism)",,,,,A,"Unique/rare results - e.g outranked a big competitor features on americans got talent, got acquired etc."
,,,,,,,,,,,,,B,Just Revenue/Results + Timeframe (no transformation/weak mechanism),,,,,B,"Revenue generating stats(Be specific!) - number of qualified leads, Top 1/3 rankings(Tell us the specific keywords), funding etc."
,,,,,,,,,,,,,C,"Metric-only stats(i.e just leads, CPA, ",,,,,C,"Markety stats but still important - CAC/CPA, ROAS, impressive views"
,,,,,,,,,,,,,D,"Metric-Only (leads, CPA, rankings)",,,,,D,"Any % increases(percentages dont work), organic impressions etc."
,,,,,,,,,,,,,,,,,,,,
#,Client Name + website,Sub niche/Industry,Service,BEFORE (Metrics + problems),AFTER (results/metrics),Other Notable Results,Timeframe,Unique Mechanism Statement,TIER,,,,,,,,,,,
,"{Name} 
{website}",Match Tab 2,"SEO, Creative, Paid, PR...","- Revenue first, if not other metrics/outcomes
- Deep pain points before working with you","- Revenue first, if not other metrics/outcomes
","Viral moments, rankings, press

(For B2B - please break down the numbers > avg. deal size, # meetings, any impressive companies you connected them with","How long?
(shorter time frame = more impressive)","What specific thing did you do differently that caused part of  result?
(it doesn't have to attribute to the whole thing, we just want to make it sound slightly contarian/unique)",S/A/B/C,,,,,,,,,,,
