Better case studies with name brands or revenue metrics,,,,,,,,,,,,,,,,,,,,
#,Client Name + Website,Sub Niche/Industry,Service,BEFORE (Metrics + Problems),AFTER (Results/Metrics),Other Notable Results,Timeframe,Unique Mechanism Statement,TIER,TIER RANKING AND WHY,How We Would Use It in Outreach,,,,,,,,,
1,Avis | avis.com,Travel / Multi-Location,SEO (Local + Content),Low organic visibility across 1700 locations; relying on brand-only keywords; poor map listing quality,"100,000+ new leads; 213 keywords on page 1",Sustainable 8+ partnership; still active,8+ years working together,Massive location-by-location map audit + optimize 1700+ listings simultaneously,A,A-tier: Recognizable brand + transformational lead metric (100k+ leads) + clear mechanism. Missing explicit revenue dollars. Logo is gold.,"We helped Avis generate 100,000+ new leads across 1,700+ locations using a location-specific SEO strategy'",,,,,,,,,
,,,,73k top 10 keywords,143k top 10 ranking keywords,"ranking #1 for ""car rentals near me"", ""car rental houston"", ""electric car rentals""",,,,,,,,,,,,,,
,,,,total company revenue - ~$9b (limited on what we can share due to contract and public company status),total company revenue - $11b,,,,,,,,,,,,,,,
,,,,2024 - ~400 appearances in AI overviews,"Today - ~10,000 appearances in AI overviews",,,,,,,,,,,,,,,
4,Paul Mitchell Schools | paulmitchell.edu,Education / Multi-Location,SEO + Content Marketing,low new student lead volume,40.73% increase in student leads,Surpassed competitors in local and national rankings,12 months,Simultaneous national brand authority build + local optimization for 100+ campuses,A,A-tier: Highly recognizable brand + student lead metric tied to revenue. No revenue dollar amount cited.,Paul Mitchell Schools grew student leads 40.73% by balancing 100+ campus local SEO with national authority',,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5,Awardco (Digital PR + GEO) | awardco.com,B2B / SaaS / HR Tech,SEO + Digital PR + GEO,Low media reach; no mainstream press coverage,283 Million Readers Reached; 35M+ organic impressions,AI/GEO SEO component; mainstream media placement,5 years,Digital PR newsjacking + GEO optimization to reach mainstream media at scale and dominate AI search,A,A-tier: 283M readers reached with a clear mechanism (digital PR + GEO). Awardco is recognizable in B2B/HR. No revenue transformation = not S.,Awardco reached 283 Million readers through Big Leap digital PR + GEO — for B2B brands investing in thought leadership',,,,,,,,,
,,,,No significant KW rankings,181% increase in demo requests from organic search,,,,,,,,,,,,,,,
,,,,not appearing in AI searches,"Recommended by AI search (ChatGPT, Gemini) for ""employee recognition software""",,,,,,,,,,,,,,,
,,,,no major media,Wall Street Journal coverage,https://www.bigleap.com/case-studies/awardco-digital-pr-geo/,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
